name,year,made_at,size,catalog_no,filename
Portrait Of Armand Roulin,1888,Arles,65 x 54cm,F 493 - JH 1643,deep600_portrait_of_armand_roulin.jpg
Portrait Of Camille Roulin,1888,Arles,43 x 35cm,F 537 - JH 1644,deep601_portrait_of_camille_roulin.jpg
Portrait Of Camille Roulin,1888,Arles,40.5 x 32.5cm,F 538 - JH 1645,deep602_portrait_of_camille_roulin.jpg
Portrait Of Madame Augustine Roulin,1888,Arles,55 x 65cm,F 503 - JH 1646,deep603_portrait_of_madame_augustine_roulin.jpg
Portrait Of The Postman Joseph Roulin,1888,Arles,65 x 54cm,F 434 - JH 1647,deep604_portrait_of_the_postman_joseph_roulin.jpg
Paul Gauguin (Man In A Red Beret),1888,Arles,Oil on jute 37 x 33cm,F 546,deep605_paul_gauguin_(man_in_a_red_beret).jpg
Van Gogh'S Chair,1888,Arles,93 x 73.5cm,F 498 - JH 1635,deep606_van_gogh's_chair.jpg
Paul Gauguin'S Armchair,1888,Arles,90.5 x 72.5cm,F 499 - JH 1636,deep607_paul_gauguin's_armchair.jpg
Baby Marcelle Roulin,1888,Arles,35 x 24cm,F 440 - JH 1639,deep608_baby_marcelle_roulin.jpg
Baby Marcelle Roulin,1888,Arles,34.3 x 23.5cm,F 441a - JH 1640,deep609_baby_marcelle_roulin.jpg
Baby Marcelle Roulin,1888,Arles,35 x 24.5cm,F 441 - JH 1641,deep610_baby_marcelle_roulin.jpg
Young Man With A Cap,1888,Arles,47.5 x 39cm,F 536 - JH 1648,deep611_young_man_with_a_cap.jpg
Portrait Of A Man,1888,Arles,65 x 54.5cm,F 533 - JH 1649,deep612_portrait_of_a_man.jpg
Portrait Of A One-Eyed Man,1888,Arles,56 x 36.5cm,F 532 - JH 1650,deep613_portrait_of_a_one-eyed_man.jpg
The Smoker,1888,Arles,62 x 47cm,F 534 - JH 1651,deep614_the_smoker.jpg
The Dance Hall In Arles,1888,Arles,65 x 81cm,F 547 - JH 1652,deep615_the_dance_hall_in_arles.jpg
Spectators In The Arena At Arles,1888,Arles,73 x 92cm,F 548 - JH 1653,deep616_spectators_in_the_arena_at_arles.jpg
La Berceuse (Augustine Roulin),1888,Arles,92 x 73cm,F 504 - JH 1655,deep617_la_berceuse_(augustine_roulin).jpg
The Schoolboy (Camille Roulin),1888,Arles,63.5 x 54cm,F 665 - JH 1879,deep618_the_schoolboy_(camille_roulin).jpg
"Still Life: Drawing Board, Pipe, Onions And Sealing-Wax",1889,Arles,50 x 64cm,F 604 - JH 1656,deep619_still_life.jpg
Self-Portrait With Bandaged Ear,1889,Arles,60 x 49cm,F 527 - JH 1657,deep620_self-portrait_with_bandaged_ear.jpg
Self-Portrait With Bandaged Ear And Pipe,1889,Arles,51 x 45cm,F 529 - JH 1658,deep621_self-portrait_with_bandaged_ear_and_pipe.jpg
Portrait Of Doctor Fã©Lix Rey,1889,Arles,64 x 53cm,F 500 - JH 1659,deep622_portrait_of_doctor_félix_rey.jpg
Still Life: Two Red Herrings,1889,Arles,33 x 47cm,F 283a - JH 1660,deep623_still_life.jpg
Still Life: Bloaters On A Piece Of Yellow Paper,1889,Arles,33 x 41cm,F 510 - JH 1661,deep624_still_life.jpg
Two Crabs,1889,Arles,47 x 61cm,F 606 - JH 1662,deep625_two_crabs.jpg
Crab On Its Back,1889,Arles,38 x 46.5cm,F 605 - JH 1663,deep626_crab_on_its_back.jpg
"Still Life With Oranges, Lemons And Blue Gloves",1889,Arles,47.3 x 64.3cm,F 502 - JH 1664,"deep627_still_life_with_oranges,_lemons_and_blue_gloves.jpg"
Still Life: Vase With Fifteen Sunflowers Â€ ,1889,Arles,100.5 x 76.5cm,F 457 - JH 1666,deep628_still_life.jpg
Still Life: Vase With Fifteen Sunflowers,1889,Arles,95 x 73cm,F 458 - JH 1667,deep629_still_life.jpg
Still Life: Vase With Twelve Sunflowers,1889,Arles,92 x 72.5cm,F 455 - JH 1668,deep630_still_life.jpg
La Berceuse (Augustine Roulin),1889,Arles,93 x 74cm,F 505 - JH 1669,deep631_la_berceuse_(augustine_roulin).jpg
La Berceuse (Augustine Roulin),1889,Arles,92.7 x 73.8cm,F 506 - JH 1670,deep632_la_berceuse_(augustine_roulin).jpg
La Berceuse (Augustine Roulin),1889,Arles,92.7 x 73.8cm,F 508 - JH 1671,deep633_la_berceuse_(augustine_roulin).jpg
La Berceuse (Augustine Roulin),1889,Arles,91 x 71.5cm,F 507 - JH 1672,deep634_la_berceuse_(augustine_roulin).jpg
Portrait Of The Postman Joseph Roulin,1889,Arles,65 x 54cm,F 439 - JH 1673,deep635_portrait_of_the_postman_joseph_roulin.jpg
Portrait Of The Postman Joseph Roulin,1889,Arles,67.5 x 56cm,F 435 - JH 1674,deep636_portrait_of_the_postman_joseph_roulin.jpg
Portrait Of The Postman Joseph Roulin Â€ ,1889,Arles,64 x 54.5cm,F 436 - JH 1675,deep637_portrait_of_the_postman_joseph_roulin.jpg
Grass And Butterflies,1889,Arles,51 x 51cm,F 460 - JH 1676,deep638_grass_and_butterflies.jpg
Two White Butterflies,1889,Arles,55 x 45.5cm,F 402 - JH 1677,deep639_two_white_butterflies.jpg
Clumps Of Grass,1889,Arles,44.5 x 49cm,F 582 - JH 1678,deep640_clumps_of_grass.jpg
Rosebush In Blossom,1889,Arles,33 x 42cm,F 580 - JH 1679,deep641_rosebush_in_blossom.jpg
A Field Of Yellow Flowers,1889,Arles,35 x 57cm,F 584 - JH 1680,deep642_a_field_of_yellow_flowers.jpg
La Crau With Peach Trees In Blossom,1889,Arles,65.5 x 81.5cm,F 514 - JH 1681,deep643_la_crau_with_peach_trees_in_blossom.jpg
View Of Arles With Trees In Blossom,1889,Arles,50.5 x 65cm,F 515 - JH 1683,deep644_view_of_arles_with_trees_in_blossom.jpg
"View Of Arles, Flowering Orchards",1889,Arles,72 x 92cm,F 516 - JH 1685,"deep645_view_of_arles,_flowering_orchards.jpg"
Ward In The Hospital In Arles,1889,Arles,74 x 92cm,F 646 - JH 1686,deep646_ward_in_the_hospital_in_arles.jpg
Garden Of The Hospital In Arles,1889,Arles,73 x 92cm,F 519 - JH 1687,deep647_garden_of_the_hospital_in_arles.jpg
Red Chestnuts In The Public Park At Arles,1889,Arles,72.5 x 92cm,F 517 - JH 1689,deep648_red_chestnuts_in_the_public_park_at_arles.jpg
Pollard Willows,1889,Arles,55 x 65cm,F 520 - JH 1690,deep649_pollard_willows.jpg
Irises,1889,Saint-Rémy,71 x 93cm,F 608 - JH 1691,deep650_irises.jpg
Lilacs,1889,Saint-Rémy,73 x 92cm,F 579 - JH 1692,deep651_lilacs.jpg
